80.12
0.400000
20.00  0.40
#offset(ppm)     Intensity     error
# G1 R2a: 16.0 R2b: 53.0 dw: 2.0
 100.000    0.508    0.006
 100.303    0.502    0.006
 100.606    0.498    0.006
 100.909    0.503    0.006
 101.212    0.510    0.006
 101.515    0.504    0.006
 101.818    0.501    0.006
 102.121    0.504    0.006
 102.424    0.507    0.006
 102.727    0.491    0.006
 103.030    0.501    0.006
 103.333    0.515    0.006
 103.636    0.503    0.006
 103.939    0.503    0.006
 104.242    0.507    0.006
 104.545    0.504    0.006
 104.848    0.502    0.006
 105.152    0.497    0.006
 105.455    0.506    0.006
 105.758    0.506    0.006
 106.061    0.511    0.006
 106.364    0.508    0.006
 106.667    0.495    0.006
 106.970    0.496    0.006
 107.273    0.514    0.006
 107.576    0.509    0.006
 107.879    0.508    0.006
 108.182    0.495    0.006
 108.485    0.501    0.006
 108.788    0.501    0.006
 109.091    0.511    0.006
 109.394    0.501    0.006
 109.697    0.504    0.006
 110.000    0.490    0.006
 110.303    0.500    0.006
 110.606    0.506    0.006
 110.909    0.496    0.006
 111.212    0.488    0.006
 111.515    0.495    0.006
 111.818    0.487    0.006
 112.121    0.486    0.006
 112.424    0.483    0.006
 112.727    0.468    0.006
 113.030    0.454    0.006
 113.333    0.459    0.006
 113.636    0.413    0.006
 113.939    0.359    0.006
 114.242    0.251    0.006
 114.545    0.092    0.006
 114.848    0.005    0.006
 115.152   -0.011    0.006
 115.455    0.076    0.006
 115.758    0.229    0.006
 116.061    0.326    0.006
 116.364    0.370    0.006
 116.667    0.402    0.006
 116.970    0.427    0.006
 117.273    0.436    0.006
 117.576    0.450    0.006
 117.879    0.436    0.006
 118.182    0.440    0.006
 118.485    0.438    0.006
 118.788    0.428    0.006
 119.091    0.439    0.006
 119.394    0.449    0.006
 119.697    0.483    0.006
 120.000    0.488    0.006
 120.303    0.489    0.006
 120.606    0.481    0.006
 120.909    0.500    0.006
 121.212    0.499    0.006
 121.515    0.498    0.006
 121.818    0.499    0.006
 122.121    0.496    0.006
 122.424    0.495    0.006
 122.727    0.504    0.006
 123.030    0.498    0.006
 123.333    0.511    0.006
 123.636    0.506    0.006
 123.939    0.495    0.006
 124.242    0.513    0.006
 124.545    0.502    0.006
 124.848    0.510    0.006
 125.152    0.494    0.006
 125.455    0.499    0.006
 125.758    0.507    0.006
 126.061    0.489    0.006
 126.364    0.510    0.006
 126.667    0.503    0.006
 126.970    0.498    0.006
 127.273    0.513    0.006
 127.576    0.512    0.006
 127.879    0.513    0.006
 128.182    0.511    0.006
 128.485    0.504    0.006
 128.788    0.507    0.006
 129.091    0.502    0.006
 129.394    0.506    0.006
 129.697    0.507    0.006
 130.000    0.501    0.006
# Y2 R2a: 16.0 R2b: 53.0 dw: 2.0
 100.000    0.503    0.006
 100.303    0.513    0.006
 100.606    0.496    0.006
 100.909    0.509    0.006
 101.212    0.501    0.006
 101.515    0.502    0.006
 101.818    0.508    0.006
 102.121    0.503    0.006
 102.424    0.503    0.006
 102.727    0.495    0.006
 103.030    0.503    0.006
 103.333    0.504    0.006
 103.636    0.488    0.006
 103.939    0.498    0.006
 104.242    0.504    0.006
 104.545    0.487    0.006
 104.848    0.487    0.006
 105.152    0.475    0.006
 105.455    0.459    0.006
 105.758    0.444    0.006
 106.061    0.435    0.006
 106.364    0.447    0.006
 106.667    0.456    0.006
 106.970    0.484    0.006
 107.273    0.480    0.006
 107.576    0.489    0.006
 107.879    0.488    0.006
 108.182    0.482    0.006
 108.485    0.491    0.006
 108.788    0.489    0.006
 109.091    0.496    0.006
 109.394    0.489    0.006
 109.697    0.497    0.006
 110.000    0.484    0.006
 110.303    0.479    0.006
 110.606    0.491    0.006
 110.909    0.486    0.006
 111.212    0.494    0.006
 111.515    0.479    0.006
 111.818    0.476    0.006
 112.121    0.477    0.006
 112.424    0.477    0.006
 112.727    0.467    0.006
 113.030    0.445    0.006
 113.333    0.432    0.006
 113.636    0.396    0.006
 113.939    0.335    0.006
 114.242    0.227    0.006
 114.545    0.069    0.006
 114.848    0.004    0.006
 115.152   -0.006    0.006
 115.455    0.093    0.006
 115.758    0.260    0.006
 116.061    0.341    0.006
 116.364    0.400    0.006
 116.667    0.444    0.006
 116.970    0.450    0.006
 117.273    0.463    0.006
 117.576    0.481    0.006
 117.879    0.490    0.006
 118.182    0.489    0.006
 118.485    0.477    0.006
 118.788    0.488    0.006
 119.091    0.497    0.006
 119.394    0.497    0.006
 119.697    0.504    0.006
 120.000    0.491    0.006
 120.303    0.498    0.006
 120.606    0.500    0.006
 120.909    0.501    0.006
 121.212    0.499    0.006
 121.515    0.510    0.006
